Month,Date,Decimal,Year,Pup count,Fitted values,Lower CI,Upper CI,CI Span
9,18/09/1985,1985.8,1985,154,159.6603,145.67244,173.6482,27.97576
3,18/03/1987,1987.3,1987,166,156.3067,143.67,168.9435,25.2735
10,25/10/1988,1988.9,1988,136,154.6299,142.64575,166.6141,23.96835
2,12/02/1990,1990.2,1990,162,151.2764,140.53719,162.0155,21.47831
9,18/09/1991,1991.8,1991,128,149.5996,139.44552,159.7536,20.30808
2,12/02/1993,1993.2,1993,153,146.246,137.16325,155.3287,18.16545
9,18/09/1994,1994.8,1994,124,144.5692,135.96034,153.178,17.21766
2,12/08/1996,1996.2,1996,145,141.2156,133.39345,149.0377,15.64425
8,12/02/1997,1997.7,1997,149,139.5388,132.01261,147.065,15.05239
2,12/08/1999,1999.2,1999,148,136.1852,129.01584,143.3546,14.33876
8,12/08/2000,2000.7,2000,135,134.5084,127.38812,141.6287,14.24058
2,12/02/2002,2002.2,2002,147,131.1548,123.86527,138.4444,14.57913
2,12/02/2003,2003.2,2003,122,129.478,121.97619,136.9799,15.00371
8,12/08/2004,2004.7,2004,148,127.8012,120.01034,135.5921,15.58176
2,12/02/2006,2006.2,2006,125,124.4477,115.88141,133.0139,17.13249
8,12/08/2007,2007.7,2007,154,122.7709,113.73525,131.8065,18.07125
2,12/02/2009,2009.2,2009,122,119.4173,109.31741,129.5171,20.19969
10,24/10/2010,2010.9,2010,119,117.7405,107.05824,128.4227,21.36446
1,6/01/2012,2012.1,2012,84,114.3869,102.4639,126.3099,23.846
8,12/08/2013,2013.7,2013,99,112.7101,100.13624,125.284,25.14776
2,12/02/2015,2015.2,2015,103,109.3565,95.43416,123.2789,27.84474
